stage,table_name,record_id,issue_type,details,action_taken
Business_Validation,fact_sales_staging,ORD000314,PAYMENT_FAILED,Order ORD000314 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000322,PAYMENT_FAILED,Order ORD000322 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000326,PAYMENT_REFUNDED,Order ORD000326 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000347,PAYMENT_REFUNDED,Order ORD000347 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000367,UNMATCHED_CUSTOMER_ID(C0161),Order ORD000367 excluded: UNMATCHED_CUSTOMER_ID(C0161),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000368,INVALID_QUANTITY; PAYMENT_FAILED,"Order ORD000368 excluded: INVALID_QUANTITY, PAYMENT_FAILED",EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000382,UNMATCHED_PRODUCT_ID(P999),Order ORD000382 excluded: UNMATCHED_PRODUCT_ID(P999),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000383,PAYMENT_REFUNDED,Order ORD000383 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000386,PAYMENT_FAILED,Order ORD000386 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000393,PAYMENT_FAILED,Order ORD000393 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000396,PAYMENT_FAILED,Order ORD000396 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000399,PAYMENT_FAILED,Order ORD000399 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000404,INVALID_UNIT_PRICE,Order ORD000404 excluded: INVALID_UNIT_PRICE,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000410,UNMATCHED_CUSTOMER_ID(C0162),Order ORD000410 excluded: UNMATCHED_CUSTOMER_ID(C0162),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000417,PAYMENT_FAILED,Order ORD000417 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000427,PAYMENT_FAILED,Order ORD000427 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000430,PAYMENT_FAILED,Order ORD000430 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000436,PAYMENT_REFUNDED,Order ORD000436 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000438,PAYMENT_REFUNDED,Order ORD000438 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000455,PAYMENT_REFUNDED,Order ORD000455 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000457,UNMATCHED_CUSTOMER_ID(C0164),Order ORD000457 excluded: UNMATCHED_CUSTOMER_ID(C0164),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000458,PAYMENT_REFUNDED,Order ORD000458 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000459,PAYMENT_FAILED,Order ORD000459 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000464,UNMATCHED_CUSTOMER_ID(C0161),Order ORD000464 excluded: UNMATCHED_CUSTOMER_ID(C0161),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000468,PAYMENT_FAILED,Order ORD000468 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000486,PAYMENT_FAILED,Order ORD000486 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000488,PAYMENT_FAILED,Order ORD000488 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000491,PAYMENT_FAILED,Order ORD000491 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000497,PAYMENT_FAILED,Order ORD000497 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000500,PAYMENT_FAILED,Order ORD000500 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000509,UNMATCHED_CUSTOMER_ID(C0162),Order ORD000509 excluded: UNMATCHED_CUSTOMER_ID(C0162),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000527,PAYMENT_FAILED,Order ORD000527 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000532,PAYMENT_FAILED,Order ORD000532 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000549,PAYMENT_FAILED,Order ORD000549 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000550,UNMATCHED_CUSTOMER_ID(C0164),Order ORD000550 excluded: UNMATCHED_CUSTOMER_ID(C0164),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000553,PAYMENT_REFUNDED,Order ORD000553 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000572,UNMATCHED_CUSTOMER_ID(C0163),Order ORD000572 excluded: UNMATCHED_CUSTOMER_ID(C0163),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000573,PAYMENT_FAILED,Order ORD000573 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000595,PAYMENT_REFUNDED,Order ORD000595 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000599,PAYMENT_REFUNDED,Order ORD000599 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000607,PAYMENT_FAILED,Order ORD000607 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000614,UNMATCHED_CUSTOMER_ID(C0163),Order ORD000614 excluded: UNMATCHED_CUSTOMER_ID(C0163),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000621,PAYMENT_FAILED,Order ORD000621 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000631,PAYMENT_REFUNDED,Order ORD000631 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000654,PAYMENT_FAILED,Order ORD000654 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000659,UNMATCHED_CUSTOMER_ID(C0165),Order ORD000659 excluded: UNMATCHED_CUSTOMER_ID(C0165),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000661,UNMATCHED_CUSTOMER_ID(C0161),Order ORD000661 excluded: UNMATCHED_CUSTOMER_ID(C0161),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000667,UNMATCHED_CUSTOMER_ID(C0162),Order ORD000667 excluded: UNMATCHED_CUSTOMER_ID(C0162),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000681,PAYMENT_REFUNDED,Order ORD000681 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000700,PAYMENT_FAILED,Order ORD000700 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000701,PAYMENT_REFUNDED,Order ORD000701 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000705,PAYMENT_FAILED,Order ORD000705 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000714,PAYMENT_FAILED,Order ORD000714 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000727,PAYMENT_FAILED,Order ORD000727 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000734,UNMATCHED_CUSTOMER_ID(C0165),Order ORD000734 excluded: UNMATCHED_CUSTOMER_ID(C0165),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000742,PAYMENT_REFUNDED,Order ORD000742 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
